slide_id,state,district,slide_name,slide_no,nh_sh_location,latitude,longitude,coordinate_valid,material_involved,movement_type,history,history_date,date_available,source
1576,Arunachal Pradesh,Lower Dibang Valley,"From Roing 15.4 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/7,NH-313 (Roing-Anini road),28.201838,95.812004,True,Rock,Slide,,,False,GSI Bhusanket
1577,Arunachal Pradesh,West Siang,Jomlo-Mongku Slide 1,AR/WS/82L16/2022/078,NH-13,28.202667,94.828417,True,Debris,Slide,,,False,GSI Bhusanket
1578,Arunachal Pradesh,Lower Dibang Valley,"From Roing 15.3 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/6,NH-313 (Roing-Anini road),28.202844,95.811201,True,Rock,Slide,,,False,GSI Bhusanket
1579,Arunachal Pradesh,Lower Dibang Valley,"From Roing 15.6 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/5,NH-313 (Roing-Anini road),28.205003,95.813193,True,Rock,Slide,,,False,GSI Bhusanket
1580,Arunachal Pradesh,Lower Dibang Valley,"From Roing 16 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/3,NH-313 (Roing-Anini road),28.20737,95.81005,True,Rock,Slide,,,False,GSI Bhusanket
1581,Arunachal Pradesh,Lower Dibang Valley,"From Roing 16.1 kms along NH-313 
towards Mayudia Pass","AP/LDV/82P16/2022/4 
AP/LDV/82P16/2021/LS4",NH-313 (Roing-Anini road),28.207699,95.809197,True,Rock,Fall,,,False,GSI Bhusanket
1582,Arunachal Pradesh,Lower Dibang Valley,"From Roing 16.3 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/20/2,NH-313 (Roing-Anini road),28.207796,95.807742,True,Rock,Slide,,,False,GSI Bhusanket
1583,Arunachal Pradesh,West Siang,Jomlo-Mongku Slide 2,AR/WS/82L16/2022/079,NH-13,28.208389,94.830667,True,Debris,Slide,,,False,GSI Bhusanket
1584,Arunachal Pradesh,Anjaw,Metengliang slide,AR/ANJ/91D12/2014/42,H. M. C. Road,28.20867,96.53222,True,Debris,Slide,2013,,False,GSI Bhusanket
1585,Arunachal Pradesh,Lower Dibang Valley,"From Roing 17.5 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/51,"Newly connstruct15ing Roing-
Hunli/ Anini road NH-313",28.209018,95.80348,True,Debris,Slide,,,False,GSI Bhusanket
1586,Arunachal Pradesh,Lower Dibang Valley,"From Roing 16.57 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/72,NH-313 (Roing-Anini road),28.209062,95.806755,True,Rock,Slide,,,False,GSI Bhusanket
1587,Arunachal Pradesh,Lower Dibang Valley,"From Roing 18.23 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/62,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.212211,95.801273,True,Rock,Slide,,,False,GSI Bhusanket
